year,data
1960,0.6832356088835013
1961,0.6568907010383384
1962,0.6928902174177112
1963,0.745448336520187
1964,0.723897328983944
1965,0.6813777947158386
1966,0.6426088860225664
1967,0.6522692520354412
1968,0.4972785800190887
1969,0.478723153005937
1970,0.5047834241717043
1971,0.5355926396469283
1972,0.4468609221023938
1973,0.3406026014255767
1974,0.34654569527353535
1975,0.31594633171989017
1976,0.3229333119374547
1977,0.2454368833534862
1978,0.22120305541477178
1979,0.14487107571178076
1980,0.4062685045809718
1981,0.34735573755085836
1982,0.1327950295295855
1983,0.14993491272214088
1984,-0.07274489167691933
1985,-0.19184183537384858
1986,-0.42020705095114896
1987,-0.5197473691322522
1988,-0.5015129364049733
1989,-0.6460658006785884
1990,-0.5352123040093087
1991,-0.5597753435899381
1992,-0.7080496631456978
1993,-0.49644537953600537
1994,-0.4424242111792685
1995,-0.5085178940718118
1996,-0.5012925438162275
1997,-0.6796991597277113
1998,-0.5654252174027564
1999,-0.348011610552285
2000,-0.3239699786141801
2001,-0.3119126717956129
2002,-0.41719896847256493
2003,-0.2739461140544775
2004,-0.20181524688902028
2005,-0.23918718367458816
2006,-0.2573613534351128
2007,-0.430428923429098
2008,-0.5612146192946394
2009,-0.20174171287559517
