Rank,Language,Family,Branch,L1 ,L1 Rank,L2 ,L2 Rank,Total
1,English,Indo-European,Germanic,379,3,753.3,1,1132
2,Mandarin Chinese,Sino-Tibetan,Sinitic,917.8,1,198.7,5,1116
3,Hindi,Indo-European,Indo-Aryan,341.2,4,274.2,2,615.4
4,Spanish,Indo-European,Romance,460.1,2,74.2,10,534.3
5,French,Indo-European,Romance,77.2,14,202.6,4,279.8
6,Arabic,Afro-Asiatic,Semitic,¡ª,¡ª,273.9,3,273.9
7,Bengali,Indo-European,Indo-Aryan,228.3,5,36.7,14,265
8,Russian,Indo-European,Slavic,153.7,7,104.4,7,258.2
9,Portuguese,Indo-European,Romance,220.7,6,13.4,16,234.1
10,Indonesian,Austronesian,Malayo-Polynesian,43.3,29,155.3,6,198.7
11,Urdu,Indo-European,Indo-Aryan,68.6,20,101.6,8,170.2
12,German,Indo-European,Germanic,76,16,56,11,132.1
13,Japanese,Japonic,¡ª,128.2,8,0,26,128.3
14,Swahili,Niger¨CCongo,Bantu,16,31,82.3,9,98.3
15,Marathi,Indo-European,Indo-Aryan,83.1,10,12.2,17,95.3
16,Telugu,Dravidian,South-Central,82,11,11,18,93
17,Punjabi,Indo-European,Indo-Aryan,92.7,9,0,0,92.7
18,Wu Chinese,Sino-Tibetan,Sinitic,81.4,12,0,27,81.5
19,Tamil,Dravidian,South,75,18,5.9,19,80.9
20,Turkish,Turkic,Oghuz,79.4,13,0,24,79.7
21,Korean,Koreanic,¡ª,77.2,15,0,0,77.2
22,Vietnamese,Austroasiatic,Vietic,75.9,17,1,22,76.9
23,Yue Chinese,Sino-Tibetan,Sinitic,73.1,19,0,23,73.5
24,Javanese,Austronesian,Malayo-Polynesian,68.2,21,0,0,68.2
25,Italian,Indo-European,Romance,64.8,22,3,21,67.8
26,Egyptian Arabic,Afro-Asiatic,Semitic,100,23,0,0,100
27,Hausa,Afro-Asiatic,Chadic,43.9,28,19.5,15,63.4
28,Thai,Kra¨CDai,Zhuang¨CTai,20.6,30,40,13,60.6
29,Gujarati,Indo-European,Indo-Aryan,56.4,24,4.1,20,60.5
30,Kannada,Dravidian,South,43.5,¡ª,12.9,0,56.4
31,Persian,Indo-European,Iranian,52.7,25,0,0,52.7
32,Bhojpuri,Indo-European,Indo-Aryan,52.2,26,0,25,52.4
33,Southern Min,Sino-Tibetan,Sinitic,50,27,0,22,50.4
34,Filipino,Austronesian,Malayo-Polynesian,¡ª,¡ª,45,12,45
