Rank,Language,Family,L1  ,L1 Rank,L2  ,Total
1,Mandar Chinese,"Sino-Tibetan, Sinitic",897,1,193,1090
2,English,"Indo-European, Germanic",371,3,611,983
3,Hindi,"Indo-European, Indo-Aryan",329,4,215,544
4,Spanish,"Indo-European, Romance",436,2,91,527
5,Arabic,"Afro-Asiatic, Semitic",290,5,132,422
6,Indonesian,"Austronesian, Malayo-Polynesian",77,15,204,281
7,Russian,"Indo-European, Slavic",153,8,113,267
8,Bengali,"Indo-European, Indo-Aryan",242,6,19,261
9,Portuguese,"Indo-European, Romance",218,7,11,229
10,French,"Indo-European, Romance",76,17,153,229
11,Hausa,"Afro-Asiatic, Chadic",85,11,65,150
12,Punjabi,"Indo-European, Indo-Aryan",148,9,0,148
13,Japanese,Japonic,128,10,1,129
14,German,"Indo-European, Germanic",76,18,52,129
15,Persian,"Indo-European, Iranian",60,25,61,121
16,Swahili,"Niger¨CCongo language, Coastal Tanzanian, Bantu",16,26,91,107
17,Telugu,Dravidian,80,13,12,92
18,Javanese,"Austronesian, Malayo-Polynesian",84,12,0,84
19,Wu Chinese,"Sino-Tibetan, Chinese",80,14,0,80
20,Korean,Koreanic,77,16,0,77
21,Tamil,Dravidian,67,23,8,75
22,Marathi,"Indo-European, Indo-Aryan",71,20,3,74
23,Yue Chinese,"Sino-Tibetan, Chinese",72,19,0,72
24,Turkish,"Altaic, Turkic",71,21,0,71
25,Vietnamese,"Austroasiatic, Viet¨CMuong",68,22,0,68
26,Italian,"Indo-European, Romance",63,24,3,66
