toRank,Language,Family,Branch,L1  ,L1 Rank,L2  ,L2 Rank,Total
1,English,Indo-European,Germanic,378.2,3,743.5,1,1121
2,Mandarin Chinese,Sino-Tibetan,Sinitic,908.7,1,198.4,5,1107
3,Hindi,Indo-European,Indo-Aryan,329.1,4,368.3,2,697.4
4,Spanish,Indo-European,Romance,442.3,2,70.6,9,512.9
5,Arabic,Afro-Asiatic,Semitic,290   (2017),5,132,6,422
6,French,Indo-European,Romance,76.7,16,208.1,3,284.9
7,Indonesian,Austronesian,Malayo-Polynesian,77   (2007),15,204,4,281
8,Russian,Indo-European,Balto-Slavic,153.9,8,110.4,7,264.3
9,Bengali,Indo-European,Indo-Aryan,242.6,6,19.2,14,261.8
10,Portuguese,Indo-European,Romance,222.7,7,13.8,15,236.5
11,German,Indo-European,Germanic,95,11,56,10,151
12,Japanese,Japonic,¡ª,128.2,9,0,23,128.3
13,Punjabi,Indo-European,Indo-Aryan,119,10,0,0,119
14,Persian,Indo-European,Iranian,60   (2009),24,50,11,110
15,Swahili,Niger¨CCongo,Bantu,16,28,82.3,8,98.3
16,Javanese,Austronesian,Malayo-Polynesian,84.3   (2000),11,0,0,84.3
17,Wu Chinese,Sino-Tibetan,Sinitic,80.7   (2015),12,"63,000",24,80.7
18,Telugu,Dravidian,South-Central,74.7,18,5,17,79.7
19,Turkish,Turkic,Oghuz,78.5,13,0,22,78.9
20,Korean,Koreanic,¡ª,77.2,14,0,0,77.2
21,Marathi,Indo-European,Indo-Aryan,71.7   (2001),20,3,18,74.7
22,Tamil,Dravidian,South,66.6,22,8,16,74.6
23,Yue Chinese,Sino-Tibetan,Sinitic,73.3,19,0,20,73.7
24,Vietnamese,Austroasiatic,Vietic,67.9,21,0, ,67.9
25,Italian,Indo-European,Romance,64.8,23,3,19,67.8
26,Hausa,Afro-Asiatic,Chadic,43.6,26,19.5,13,63.1
27,Thai,Kra¨CDai,Zhuang¨CTai,20.5,27,40,12,60.5
28,Southern Min (incl. Hokkien),Sino-Tibetan,Sinitic,49.7,25,0,21,50.1
