year,data
1960,0.9964499063299344
1961,1.0215038081612284
1962,0.9760834328475084
1963,0.9353073119442352
1964,0.8577751211685776
1965,0.8241470727943978
1966,0.788596500440103
1967,0.782337024353047
1968,0.7148655542348127
1969,0.657436762305132
1970,0.5904638453192725
1971,0.591696121631059
1972,0.4964120870020308
1973,0.20410066955986317
1974,0.19987167295333877
1975,0.10638864462626854
1976,0.07873641994900246
1977,-0.0009830781238048857
1978,-0.11247388034241831
1979,-0.33168306455939917
1980,-0.1762602331317998
1981,-0.21028075948366334
1982,-0.09948608585214407
1983,-0.021355086655499022
1984,-0.19488049045593475
1985,-0.16665261833219652
1986,-0.1176199722766665
1987,-0.06460072567675752
1988,-0.086317788849752
1989,-0.11407702928160134
1990,-0.16825095202427104
1991,-0.14625343543034383
1992,-0.19362532806755653
1993,-0.2545076508746271
1994,-0.38880124912603475
1995,-0.24325651048174746
1996,-0.4513531253689538
1997,-0.5228607379069226
1998,-0.4756026636451459
1999,-0.4750281955585102
2000,-0.5338604823332044
2001,-0.5429553382148438
2002,-0.5777907137058366
2003,-0.6327037858461234
2004,-0.6835915523151268
2005,-0.6493420372530366
2006,-0.8161256778958499
2007,-0.6227979729639886
2008,-0.47831124107859263
2009,-0.26848249250746187
