year,data
1960,0.05719563997420447
1961,-0.03746477643315621
1962,-0.15192592868415214
1963,-0.1746203836819835
1964,-0.16817802089591072
1965,-0.1429780211268852
1966,-0.20610379632915515
1967,-0.4050672362425936
1968,-0.4909402053874025
1969,-0.3884253906505919
1970,-0.42922242502271823
1971,-0.4975154337353537
1972,-0.5349343346042222
1973,-0.3744827465007858
1974,-0.3691272483464805
1975,-0.20316684345631938
1976,-0.1812249102902364
1977,-0.010058168047108386
1978,0.12479771880482282
1979,0.29744988026872515
1980,-0.13287186248235278
1981,0.10262492594255296
1982,0.05893651103524901
1983,0.18931760088768187
1984,0.23638717727666114
1985,0.3345907537495875
1986,0.44591247236586334
1987,0.055697692588930744
1988,-0.0069512974447259205
1989,0.020303186250935672
1990,-0.22860657333145415
1991,-0.032426011996647644
1992,-0.03246415360411011
1993,-0.11524221751710842
1994,-0.11306138672242337
1995,0.0562086144262566
1996,0.00918645316112209
1997,0.05569244718177739
1998,0.026160856707953165
1999,-0.011902799706863577
2000,-0.0984894997326169
2001,-0.31594142901554056
2002,-0.16116397567016447
2003,-0.25293027515745936
2004,-0.2997727631901167
2005,0.6555399225298655
2006,0.6761336652326332
2007,0.9253258261609585
2008,1.0964471421248498
2009,1.1433516283360055
