year,data
1960,0.7575121152842355
1961,0.8230653944945838
1962,0.7942926688930647
1963,0.8025976175131739
1964,0.7298517599542051
1965,0.7139628959970874
1966,0.7064193257605466
1967,0.6942282173315145
1968,0.5687499271612021
1969,0.571061001302631
1970,0.4992000685526432
1971,0.5153658527294376
1972,0.39323117597004126
1973,0.2163984271361024
1974,0.18994202853095601
1975,0.11429527662466617
1976,0.057739639792434815
1977,0.009941889620754336
1978,-0.15306704238204114
1979,-0.15673328906237485
1980,-0.007199265898335937
1981,-0.038294736703249926
1982,0.020137367490504262
1983,-0.20003497972562334
1984,0.012744309432942951
1985,0.08285577151592884
1986,0.0374728403999931
1987,-0.030731790653918806
1988,-0.07805504430957681
1989,-0.016100792815901866
1990,-0.01652752164274073
1991,-0.12989235991253809
1992,-0.2293879324949625
1993,-0.3516620363367573
1994,-0.30769054867072315
1995,-0.2191095461335113
1996,-0.427325811729961
1997,-0.5072657105401792
1998,-0.6135313214817438
1999,-0.6466260868641549
2000,-0.5656320045250309
2001,-0.2944565669562528
2002,-0.47057481472108187
2003,-0.5254521700869865
2004,-0.6196782028056583
2005,-0.5766767386887219
2006,-0.6129519245885522
2007,-0.6628892643757881
2008,-0.45574283432733836
2009,-0.39777523305494095
