years,L2_users
2015,603.0
2016,607.0
2017,611.0
2018,640.0
2019,730.0
2020,898.4
2021,999.193444110854
2022,1175.1327919249231
2023,1363.0778300240877
2024,1562.3072487132504
2025,1813.1264827112416
2026,2085.0543614464264
2027,2398.852054190374
2028,2760.69661842596
2029,3167.2882568420378
2030,3633.600267918351
2031,4162.900470366215
2032,4763.020079143196
2033,5445.258029397434
2034,6217.638709266777
2035,7092.435125452368
2036,8082.3199349272
2037,9200.786604237313
2038,10463.99668967819
2039,11889.122731876614
2040,13495.510835167852
2041,15304.817479874126
2042,17340.81364680483
2043,19630.079391225372
2044,22202.031301787083
2045,25089.231355635868
2046,28327.81121626232
2047,31957.711923216273
2048,36023.1262815548
2049,40572.913832529106
2050,45661.03237772966
2051,51347.064228859286
2052,57696.745793130074
2053,64782.56164855052
2054,72684.39724329553
2055,81490.23609753752
2056,91296.92970074854
2057,102211.03111432253
2058,114349.70023430056
2059,127841.69124986202
2060,142828.42290597063
2061,159465.1419202674
2062,177922.18634529892
2063,198386.3556714278
2064,221062.39761740554
2065,246174.61989690334
2066,273968.63692058733
2067,304713.2622447548
2068,338702.55770589603
2069,376258.05155837844
