years,L2_users
2015,110.0
2016,111.5
2017,113.0
2018,117.0
2019,1177.0
2020,104.3
2021,564.1616841733285
2022,545.5305507839889
2023,225.04846357809342
2024,422.0988246184661
2025,269.57486820494955
2026,221.67079025997396
2027,251.98750314750802
2028,163.77014609815978
2029,165.5129309841718
2030,145.94658115391582
2031,111.01403072118352
2032,108.98526231837964
2033,88.17715439550209
2034,75.20578426148752
2035,68.44446321630224
2036,55.71887042867673
2037,49.39698011379447
2038,42.72998969982257
2039,35.882475951493724
2040,31.672705701264757
2041,26.90767027534934
2042,23.094874180376628
2043,20.08247856202517
2044,17.073408888051652
2045,14.760478773845563
2046,12.69885651522602
2047,10.857412607983685
2048,9.374790395142513
2049,8.03159869950866
2050,6.893464616358443
2051,5.931477969618436
2052,5.079571816468231
2053,4.363949173612032
2054,3.7449294865907587
2055,3.209034522972068
2056,2.7548695805823344
2057,2.360837504929388
2058,2.023543373904975
2059,1.7350486003535606
2060,1.4859822570204797
2061,1.2732795064633489
2062,1.0905919862392826
2063,0.9336721322208631
2064,0.7994965739458808
2065,0.684240273111729
2066,0.5855205074612229
2067,0.5009959427458517
2068,0.42849847479661085
2069,0.36646570608924023
