years,L2_users
2015,5.0
2016,6.5
2017,8.0
2018,16.0
2019,19.0
2020,6.0
2021,11.717366216575746
2022,7.778101773098999
2023,4.963425663731029
2024,6.308141227746423
2025,3.5995661495147617
2026,3.3643001951557006
2027,3.07311894344922
2028,1.961980284014493
2029,1.963551963365177
2030,1.4986836054632184
2031,1.136523778443237
2032,1.0520387868247578
2033,0.7682667073274942
2034,0.6471026639593038
2035,0.5454855220926373
2036,0.4123791732703592
2037,0.3555026732517994
2038,0.28341854278645434
2039,0.22531161606670197
2040,0.19026651442990422
2041,0.14959814409106406
2042,0.12266615504568074
2043,0.10074003201988516
2044,0.08001305449477256
2045,0.06609122663771064
2046,0.05335055496813704
2047,0.04300631261128847
2048,0.03531248417309812
2049,0.028375936387837034
2050,0.023085189012354703
2051,0.018795239054789702
2052,0.015145243729495652
2053,0.012348342461806609
2054,0.009999308999842265
2055,0.008091972719195177
2056,0.006585332790149267
2057,0.005324078728915032
2058,0.0043199177922571995
2059,0.003506123154130281
2060,0.0028364375636184503
2061,0.0023027213395449414
2062,0.0018655498859182329
2063,0.0015109269602256766
2064,0.0012257768040955328
2065,0.0009924097269648393
2066,0.0008042906102607313
2067,0.0006518728651681274
2068,0.0005277843862093751
2069,0.00042775107829283373
