years,L2_users
2015,94.0
2016,92.5
2017,91.0
2018,9.0
2019,10.0
2020,74.9
2021,26.20162203689427
2022,59.5116059250554
2023,69.55315386926907
2024,63.02985586065464
2025,86.43550211493417
2026,90.96058146841793
2027,102.47746207252108
2028,119.77323821406625
2029,131.62592398555887
2030,150.27061348710222
2031,169.57947080088752
2032,190.11287653319445
2033,214.9477842661506
2034,241.39533793889254
2035,271.3268319887701
2036,305.0097041237017
2037,342.12606557033695
2038,383.82734732789993
2039,430.19041867913757
2040,481.7403185864351
2041,539.2071530304374
2042,603.0229095068859
2043,673.9554492721793
2044,752.7399263865874
2045,840.1451715969506
2046,937.1060284199579
2047,1044.575209493798
2048,1163.6232300925794
2049,1295.4320636520263
2050,1441.273072895157
2051,1602.5551866892504
2052,1780.812813404254
2053,1977.7209544887962
2054,2195.115379861184
2055,2434.996631706624
2056,2699.5501969720335
2057,2991.161370038378
2058,3312.4303446473677
2059,3666.192912833439
2060,4055.538897688852
2061,4483.833748159884
2062,4954.742072416768
2063,5472.251922650459
2064,6040.701934091706
2065,6664.810145525097
2066,7349.704980226199
2067,8100.958872397617
2068,8924.624222527327
2069,9827.272188128703
