years,L2_users
2015,115.0
2016,83.5
2017,52.0
2018,52.0
2019,53.0
2020,56.1
2021,56.72074726963312
2022,58.89669158226473
2023,60.88605938750949
2024,62.418401957603365
2025,64.63790666380706
2026,66.54045222780267
2027,68.56214844522975
2028,70.77270778879449
2029,72.88901517091301
2030,75.1635687485134
2031,77.48992256810854
2032,79.8529995487628
2033,82.32577132140239
2034,84.84773342608186
2035,87.44792787430374
2036,90.13269751727272
2037,92.88649617665202
2038,95.72712768249892
2039,98.65014647852365
2040,101.65683880290919
2041,104.75402720800265
2042,107.94029853836014
2043,111.21986761134917
2044,114.59560435669232
2045,118.06908355831949
2046,121.64402119406522
2047,125.32282024053092
2048,129.10831115153746
2049,133.00374209644272
2050,137.01192449165939
2051,141.13609667818972
2052,145.3794925891232
2053,149.7453467123729
2054,154.23710982527902
2055,158.85823638464205
2056,163.6122948434088
2057,168.5029692897568
2058,173.53400857852918
2059,178.70928233997876
2060,184.03275655030586
2061,189.50849626418983
2062,195.14068152109462
2063,200.93359667902882
2064,206.8916398822615
2065,213.0193258397477
2066,219.3212854001575
2067,225.80227183762327
2068,232.4671622042953
2069,239.32096043890024
