years,total_users
2015,110.0
2016,115.5
2017,121.0
2018,110.0
2019,52.7
2020,55.0
2021,37.40827277675065
2022,22.481617586335876
2023,22.564966431609005
2024,13.035634807059147
2025,10.138573233576228
2026,8.577385860311905
2027,4.976629492862749
2028,4.434679331366525
2029,3.162953504151455
2030,2.079938508073521
2031,1.8341683202575525
2032,1.1899942577454161
2033,0.9017147624788321
2034,0.7261953687369367
2035,0.4722796288099087
2036,0.38681754186805883
2037,0.2832473105449747
2038,0.19714467505440933
2039,0.16135813457150755
2040,0.11211405859231939
2041,0.08423251434484122
2042,0.06582482353254117
2043,0.04579132256220861
2044,0.03592529016378302
2045,0.026696726306934156
2046,0.01925144553747922
2047,0.01513660424943546
2048,0.010941781910363624
2049,0.008215911270082579
2050,0.006316480272237525
2051,0.004569597672072605
2052,0.0035132116422841786
2053,0.0026337729130946628
2054,0.0019414642429433089
2055,0.0014966000134328213
2056,0.001106722867199698
2057,0.0008332336075864569
2058,0.0006358231883740291
2059,0.0004705554555268738
2060,0.00035884312573576053
2061,0.0002706062710830064
2062,0.0002022469718667862
2063,0.0001546009720867382
2064,0.00011586463143013837
2065,8.755934562928342e-05
2066,6.666090589933726e-05
2067,5.000377453535408e-05
2068,3.8055751322224535e-05
2069,2.8827682471225112e-05
