years,total_users
2015,942.0
2016,962.5
2017,983.0
2018,1121.0
2019,1132.0
2020,1268.0
2021,1358.6279285474968
2022,1449.433459309405
2023,1581.0225095098963
2024,1691.5553839975396
2025,1823.9010223923437
2026,1967.5480521519564
2027,2113.2080361527373
2028,2277.0553111466256
2029,2449.3596931920333
2030,2633.6724075585967
2031,2833.316146391496
2032,3045.3594414543622
2033,3273.3633458153795
2034,3517.672956324985
2035,3778.7654898456644
2036,4058.753745314135
2037,4358.228831266722
2038,4678.672234159095
2039,5021.632648203206
2040,5388.357951132035
2041,5780.584857177687
2042,6199.947506999884
2043,6648.188266104959
2044,7127.256661692948
2045,7639.121234779596
2046,8185.924425242469
2047,8769.93906174924
2048,9393.552926328714
2049,10059.325124832729
2050,10769.957882711811
2051,11528.31808434132
2052,12337.452472065912
2053,13200.585627792407
2054,14121.13958928144
2055,15102.741815249736
2056,16149.23543204266
2057,17264.694511212158
2058,18453.43477044833
2059,19720.02799577655
2060,21069.316773805145
2061,22506.42889229124
2062,24036.79384049157
2063,25666.159398579122
2064,27400.609212085714
2065,29246.581564225504
2066,31210.888797572603
2067,33300.73794185413
2068,35523.752386227374
2069,37887.9946063154
