years,total_users
2015,71.0
2016,71.0
2017,71.0
2018,78.9
2019,79.7
2020,85.0
2021,89.84041397300294
2022,93.41072013880947
2023,99.0205552246844
2024,103.79602070230044
2025,108.98296945423648
2026,114.79827239498121
2027,120.43324103700235
2028,126.61770115716833
2029,133.0578456099565
2030,139.7161946472249
2031,146.81127516986797
2032,154.17964484020197
2033,161.9132075587306
2034,170.0410247936221
2035,178.52928612641796
2036,187.44010134557064
2037,196.7730150018238
2038,206.5441567761452
2039,216.78632317882577
2040,227.50950347155506
2041,238.74034640136583
2042,250.50252497047782
2043,262.81675469760836
2044,275.7106661346306
2045,289.20903774462465
2046,303.33873107921954
2047,318.1287430037753
2048,333.6078055066941
2049,349.80687453645567
2050,366.7579640415852
2051,384.49419612885066
2052,403.05046453682024
2053,422.46288407133824
2054,442.7691518088176
2055,464.0086087054353
2056,486.2221512472108
2057,509.45244812777185
2058,533.7439331307661
2059,559.1428756221038
2060,585.6974916413529
2061,613.4579824436022
2062,642.4766321960685
2063,672.8078899824718
2064,704.5084454262774
2065,737.6373262337514
2066,772.2559850212957
2067,808.428394186946
2068,846.2211466620818
2069,885.7035556489137
