years,total_users
2015,570.0
2016,548.5
2017,527.0
2018,512.9
2019,534.3
2020,538.0
2021,541.8786242154088
2022,554.6504029642341
2023,558.6831872145884
2024,567.2562365626112
2025,575.9075523503104
2026,582.4650031350789
2027,591.3338209455912
2028,599.1989727583094
2029,607.1763985385389
2030,615.8104467729289
2031,624.002680845931
2032,632.5826542911282
2033,641.2734407475599
2034,649.9408544406615
2035,658.8609980763782
2036,667.8285084327542
2037,676.9143639074174
2038,686.1539264305019
2039,695.4801124958957
2040,704.946100005709
2041,714.5360798226693
2042,724.2431587337715
2043,734.0860522837046
2044,744.0534662752841
2045,754.1513586080646
2046,764.3834854255479
2047,774.7472318336706
2048,785.2475023813731
2049,795.8849184913659
2050,806.6606768311098
2051,817.577591020051
2052,828.6366229055853
2053,839.8398303686948
2054,851.1891543790746
2055,862.6861591046628
2056,874.3328985094807
2057,886.1311805011169
2058,898.0828701527272
2059,910.1899549427355
2060,922.4543286559244
2061,934.8779754824573
2062,947.4628946301289
2063,960.2110843667604
2064,973.1245963311713
2065,986.2054899027246
2066,999.4558513770323
2067,1012.877798305271
2068,1026.4734662875578
2069,1040.2450207297436
