years,total_users
2015,98.0
2016,102.5
2017,107.0
2018,98.3
2019,98.3
2020,99.0
2021,94.67831557492714
2022,95.07590129265309
2023,93.31617044493183
2024,91.40226163134156
2025,90.76983606299781
2026,88.98152366383049
2027,87.75667360725983
2028,86.59399769013173
2029,85.13422495710846
2030,83.98685920578679
2031,82.72136740153505
2032,81.46284913593091
2033,80.30090603559103
2034,79.08273297462281
2035,77.9157363379627
2036,76.76831989356097
2037,75.61776804981963
2038,74.50201944208195
2039,73.39391295001239
2040,72.30106795469871
2041,71.22888717385834
2042,70.16760100902744
2043,69.12373119996475
2044,68.09510164110459
2045,67.08009413861562
2046,66.08089029781314
2047,65.0955992676926
2048,64.12450977837513
2049,63.16777451979684
2050,62.22459886464629
2051,61.295210465996306
2052,60.37929500509399
2053,59.47657546253347
2054,58.58701508479288
2055,57.71032454694395
2056,56.846353274076684
2057,55.99494447951639
2058,55.15588433457517
2059,54.32902523655237
2060,53.51418786327898
2061,52.711197399877314
2062,51.91989621941654
2063,51.14011300271635
2064,50.37168720567574
2065,49.61445995874045
2066,48.86827085681716
2067,48.13296564908064
2068,47.408390081423256
2069,46.694392137665226
