years,total_users
2015,1090.0
2016,1090.0
2017,1090.0
2018,1107.0
2019,1116.0
2020,1120.0
2021,1133.1551530886625
2022,1139.8176033865363
2023,1148.5587791673422
2024,1158.6310440027355
2025,1166.4988431991176
2026,1176.072346235735
2027,1185.210442987131
2028,1194.1005971883835
2029,1203.626857076406
2030,1212.8128399030363
2031,1222.1941272033946
2032,1231.7245127846386
2033,1241.1837373191488
2034,1250.8163893253097
2035,1260.489286592608
2036,1270.214613753555
2037,1280.0480503635083
2038,1289.9291334806342
2039,1299.8917935286306
2040,1309.9336450279882
2041,1320.0414389756575
2042,1330.2309503010565
2043,1340.4943736449598
2044,1350.8329819734327
2045,1361.2507673999728
2046,1371.7444748246676
2047,1382.3167456088036
2048,1392.9679576286285
2049,1403.6978141308434
2050,1414.5078339888896
2051,1425.398067666474
2052,1436.369136069491
2053,1447.42183360682
2054,1458.5565059998237
2055,1469.7738708627085
2056,1481.0745083138543
2057,1492.4589601834607
2058,1503.9278855097414
2059,1515.4818555427453
2060,1527.121481052832
2061,1538.8473875780483
2062,1550.6601766056808
2063,1562.5604768271753
2064,1574.5489123640252
2065,1586.6261089871969
2066,1598.7927038517125
2067,1611.0493327256231
2068,1623.3966379647895
2069,1635.8352669948051
