years,total_users
2015,85.0
2016,75.5
2017,66.0
2018,67.8
2019,67.8
2020,68.0
2021,68.90573485096465
2022,69.01248486775094
2023,69.57232887757031
2024,70.08552010399367
2025,70.42588185016706
2026,70.96947393041866
2027,71.40341677238861
2028,71.8526076510011
2029,72.34860993632222
2030,72.7974764540742
2031,73.2774104425409
2032,73.75722477842528
2033,74.22905502889778
2034,74.71639964269352
2035,75.19973950747661
2036,75.68689036443755
2037,76.17984036217231
2038,76.67274060826212
2039,77.17049169065615
2040,77.67116386377569
2041,78.17428369313906
2042,78.68133624478548
2043,79.19112060604112
2044,79.70414277691745
2045,80.2205449990141
2046,80.73998025079669
2047,81.26277283171515
2048,81.78882065549494
2049,82.3181126716616
2050,82.85076023196453
2051,83.38670707909328
2052,83.92600364551572
2053,84.46867776056573
2054,85.01472681226966
2055,85.56419021754186
2056,86.11708088039879
2057,86.67341750061493
2058,87.23322653343124
2059,87.79652408118352
2060,88.36333302156258
2061,88.9336749351283
2062,89.50756961639314
2063,90.08503959966876
2064,90.66610587985893
2065,91.25078993047367
2066,91.83911382667505
2067,92.43109911520183
2068,93.02676788453705
2069,93.62614226152313
