years,total_users
2015,62.0
2016,67.0
2017,72.0
2018,73.7
2019,73.5
2020,85.0
2021,86.50298871680376
2022,92.96302640931798
2023,100.30375509118204
2024,105.19488184006661
2025,113.05089516632546
2026,120.18527691353866
2027,127.63913525015661
2028,136.27362560900144
2029,144.77759166519337
2030,154.10126372810595
2031,164.02401233597496
2032,174.37117645730905
2033,185.5100058709983
2034,197.24849836564502
2035,209.68762377957196
2036,222.9196639950384
2037,236.90489430170166
2038,251.74527504919402
2039,267.4730046961389
2040,284.1254917831589
2041,301.7762105094691
2042,320.46687154980725
2043,340.26010047200054
2044,361.2210235509911
2045,383.4097791213255
2046,406.8985718316722
2047,431.75880212747836
2048,458.0658556343091
2049,485.9011991268636
2050,515.3483856116245
2051,546.4965049361165
2052,579.4392616829161
2053,614.2747323181571
2054,651.1066499005533
2055,690.0438527181306
2056,731.2008330444935
2057,774.698132690491
2058,820.6623743479975
2059,869.2267654404653
2060,920.5313458041518
2061,974.7232910666568
2062,1031.957325148015
2063,1092.3960347155312
2064,1156.2102674639336
2065,1223.579537674707
2066,1294.6924266393207
2067,1369.7470303961572
2068,1448.9514105841527
2069,1532.5240684482806
