years,total_users
2015,385.0
2016,403.5
2017,422.0
2018,422.0
2019,273.9
2020,274.0
2021,223.9771420740072
2022,170.37281354885184
2023,161.52264922804918
2024,124.23889252276525
2025,104.94570245029864
2026,91.7128108544854
2027,71.92398709719373
2028,62.60469490913172
2029,51.9706914871804
2030,42.358399581063246
2031,36.45263809947324
2032,29.78228201773931
2033,24.894003147459728
2034,20.996614435173395
2035,17.230058485814595
2036,14.507482337625692
2037,12.074178391797208
2038,9.999344297487736
2039,8.394216150122721
2040,6.954938979114007
2041,5.794037972294335
2042,4.837957988351106
2043,4.011061434856529
2044,3.346582919896876
2045,2.7838861202681198
2046,2.312455745373778
2047,1.9272728656088152
2048,1.6007438313062716
2049,1.3311644636108018
2050,1.1075277242385637
2051,0.9196718364088246
2052,0.7648073226231487
2053,0.6354721799521684
2054,0.5277391571860789
2055,0.438592565352943
2056,0.36414149868055906
2057,0.3023830106003705
2058,0.2511018888703826
2059,0.20838729741505385
2060,0.17298297660448225
2061,0.1435452156342908
2062,0.1190864850660653
2063,0.09880228361361786
2064,0.08194228319829883
2065,0.06795418926306758
2066,0.05634754827340439
2067,0.04671017578322029
2068,0.03871907723652405
2069,0.03208852103338612
