years,total_users
2015,79.0
2016,77.0
2017,75.0
2018,74.6
2019,80.9
2020,84.0
2021,87.36932347312118
2022,92.49915979623415
2023,96.1910223034739
2024,100.91607739850316
2025,105.8221540458771
2026,110.54902910928972
2027,115.90395377405162
2028,121.28361575723483
2029,126.91200931872024
2030,132.89149877761906
2031,139.03426511936172
2032,145.50404550707944
2033,152.25932019189682
2034,159.28934777738326
2035,166.6562338660898
2036,174.335213293996
2037,182.35323194704202
2038,190.73026209240973
2039,199.4688330994078
2040,208.59381662426614
2041,218.11796804099836
2042,228.05655243768896
2043,238.429986015583
2044,249.25396269373198
2045,260.5480613290632
2046,272.3321403694877
2047,284.6257130593137
2048,297.4504407776427
2049,310.82802757732566
2050,324.78115502230634
2051,339.3336773746939
2052,354.5100415655608
2053,370.33585336165726
2054,386.83768844686983
2055,404.0430889497372
2056,421.9807546574384
2057,440.6804505593862
2058,460.17310401352603
2059,480.49085757055656
2060,501.66707513273894
2061,523.7364206180281
2062,546.7348913829486
2063,570.6998646865746
2064,595.6701578610795
2065,621.6860725836431
2066,648.7894526308912
2067,677.0237406862447
2068,706.4340341053179
2069,737.0671470895741
