years,total_users
2015,77.0
2016,78.5
2017,80.0
2018,80.7
2019,81.5
2020,82.0
2021,82.76294473374831
2022,83.42602778880939
2023,84.07070483677778
2024,84.79698340289636
2025,85.46426075390102
2026,86.16323164082092
2027,86.87359726798228
2028,87.57042265662189
2029,88.28888929554842
2030,89.00638934991692
2031,89.72804693944158
2032,90.46014526291218
2033,91.19394757930384
2034,91.9351561898125
2035,92.6825450574809
2036,93.4345988574204
2037,94.19355543410697
2038,94.95804543501963
2039,95.72843093580492
2040,96.50514671755516
2041,97.28769022822242
2042,98.07646058599013
2043,98.871424730379
2044,99.67253184681618
2045,100.47996573614897
2046,101.29368533906133
2047,102.11375800050601
2048,102.9402559311398
2049,103.7731931536265
2050,104.61264030658666
2051,105.45864138160806
2052,106.31123959480914
2053,107.17049314442848
2054,108.0364465298782
2055,108.90915135810131
2056,109.78865988283525
2057,110.67502107058637
2058,111.56828776980835
2059,112.46851151561916
2060,113.37574414720413
2061,114.29003879399485
2062,115.21144808769007
2063,116.14002546358017
2064,117.0758247597416
2065,118.01889997395794
2066,118.96930571379133
2067,119.92709687481724
2068,120.8923287441487
2069,121.86505706458347
