years,total_users
2015,380.0
2016,462.0
2017,544.0
2018,697.4
2019,615.4
2020,637.0
2021,672.106347651467
2022,641.523722549857
2023,669.8934139184087
2024,672.2913430333081
2025,671.287976155663
2026,686.7727906113702
2027,687.607102623663
2028,694.9903979656107
2029,703.2896492548036
2030,707.5425647159907
2031,715.5289598260217
2032,721.9523395409541
2033,728.2208311698378
2034,735.5751995558619
2035,742.0724773508497
2036,749.0364517016479
2037,756.1160271880271
2038,763.0019055366656
2039,770.1801642268045
2040,777.3207615913475
2041,784.5120897825509
2042,791.8321112830664
2043,799.1600837643927
2044,806.5791587556216
2045,814.0679595188141
2046,821.6077192172173
2047,829.2293194134159
2048,836.9127094400885
2049,844.6639582232956
2050,852.4884891036118
2051,860.3793277966079
2052,868.3422304087702
2053,876.3764339496029
2054,884.4813428525683
2055,892.6594651521665
2056,900.9101348198074
2057,909.2343208390492
2058,917.6329568290121
2059,926.1062075208223
2060,934.6550371551009
2061,943.2800081001211
2062,951.9816981982357
2063,960.7608840823709
2064,969.6181493967346
2065,978.5541849875945
2066,987.5696846954108
2067,996.6652996093668
2068,1005.8417360003656
2069,1015.0996803804986
