years,total_users
2015,92.0
2016,92.0
2017,92.0
2018,79.7
2019,93.0
2020,93.0
2021,93.68794572130054
2022,100.50721336178839
2023,101.0754406470441
2024,105.06669100637924
2025,109.00119445446177
2026,111.53294553921789
2027,115.75346079949115
2028,119.25394307116667
2029,122.9055352792581
2030,127.04846274551979
2031,130.91620934063317
2032,135.11339734915458
2033,139.42732697266763
2034,143.7776659075489
2035,148.36014610904272
2036,153.02881216481236
2037,157.841564734936
2038,162.82347479888156
2039,167.93091583983121
2040,173.20558495216576
2041,178.63851436099986
2042,184.22906427982124
2043,189.99388002850728
2044,195.92849535583588
2045,202.04123642738097
2046,208.33852307986587
2047,214.8226373799917
2048,221.5013014425265
2049,228.3792302177571
2050,235.46179975955891
2051,242.7556091213359
2052,250.26609733064254
2053,257.9996543477109
2054,265.9627120330446
2055,274.1616092804833
2056,282.6031917112994
2057,291.2942910832586
2058,300.2419576696168
2059,309.453499874422
2060,318.93634080253156
2061,328.69815428998163
2062,338.7468133838287
2063,349.0903870141959
2064,359.7371824785472
2065,370.69571841544774
2066,381.97474470236745
2067,393.5832505178673
2068,405.53046115590166
2069,417.82585235271625
