years,total_users
2015,130.0
2016,129.5
2017,129.0
2018,128.3
2019,128.3
2020,126.0
2021,125.67085299293048
2022,124.54189844710972
2023,123.247772550816
2024,122.53934685577924
2025,121.34827060403161
2026,120.36736695331133
2027,119.43786229975746
2028,118.37190153150314
2029,117.43662330132669
2030,116.4586554121794
2031,115.47763454504296
2032,114.54047480168185
2033,113.58028311610201
2034,112.64034807511355
2035,111.71068190906702
2036,110.77947647507753
2037,109.86339002371425
2038,108.95152250167659
2039,108.04629984238906
2040,107.15060401142084
2041,106.2601973446599
2042,105.37773564709133
2043,104.50254217734802
2044,103.63382661238147
2045,102.77257994863872
2046,101.91806949205997
2047,101.07039659564218
2048,100.22969154341477
2049,99.39563957343582
2050,98.56835756031884
2051,97.74775426744964
2052,96.93373171523301
2053,96.12630373380364
2054,95.32537668026374
2055,94.53090944961522
2056,93.74286310591968
2057,92.96117122507603
2058,92.18579473921277
2059,91.41668191108856
2060,90.65378092868892
2061,89.89704732001847
2062,89.14643023181743
2063,88.40188243746145
2064,87.66335718352022
2065,86.93080633177566
2066,86.20418378795435
2067,85.4834429952728
2068,84.76853771992127
2069,84.05942251258324
