years,total_users
2015,281.0
2016,281.0
2017,281.0
2018,281.0
2019,198.7
2020,199.0
2021,168.61374881034396
2022,136.96244058146652
2023,129.7689181185818
2024,105.95116784223457
2025,92.71661923508609
2026,82.54293237038614
2027,68.73146061605843
2028,61.07146108172729
2029,52.61665411573461
2030,44.95801469654411
2031,39.55231343004153
2032,33.81331492948431
2033,29.286200905707947
2034,25.45073302868437
2035,21.828644168002995
2036,18.95350112053128
2037,16.358260376587168
2038,14.09236121572633
2039,12.207325162021466
2040,10.514090295249837
2041,9.07676474090197
2042,7.839977919579056
2043,6.753095359162759
2044,5.8297931543421475
2045,5.026018565252586
2046,4.330675658299832
2047,3.7349315708331354
2048,3.216968612407258
2049,2.771597512402896
2050,2.3877287043401245
2051,2.055544162181973
2052,1.7700376560986582
2053,1.5235243282964335
2054,1.3109672566829613
2055,1.1280745691430243
2056,0.9702788964792955
2057,0.8344550546002192
2058,0.7175114443009946
2059,0.6167605115454543
2060,0.5300924886652045
2061,0.45548487498064744
2062,0.39128735759029687
2063,0.33608053539641586
2064,0.288587946150398
2065,0.24775777100076096
2066,0.21265974919630865
2067,0.18249056271910918
2068,0.15657052239112731
2069,0.1343018509465195
