years,total_users
2015,220.0
2016,224.5
2017,229.0
2018,284.9
2019,279.8
2020,277.0
2021,302.5746056070174
2022,299.1183351585773
2023,311.0760005893747
2024,322.69659397011964
2025,327.54011951325737
2026,339.93640807731515
2027,348.8022463721192
2028,358.0733187680337
2029,369.3681402276637
2030,379.1221844903471
2031,390.1076016312772
2032,401.35247308958515
2033,412.46262606992417
2034,424.33671999425
2035,436.2933932282019
2036,448.58513230041103
2037,461.32072464723507
2038,474.2867472757553
2039,487.66406631447654
2040,501.40096832944135
2041,515.4818275270775
2042,529.9716718689118
2043,544.8374937143936
2044,560.1045803226339
2045,575.7895338677396
2046,591.8891539584631
2047,608.4250111679602
2048,625.4044697706944
2049,642.8373959664324
2050,660.7389410474958
2051,679.1184325585857
2052,697.9891027196535
2053,717.3639309598558
2054,737.2549578948737
2055,757.6760649146611
2056,778.640557215744
2057,800.1622097545481
2058,822.2554480310375
2059,844.9346645671128
2060,868.2148316251615
2061,892.1112505910804
2062,916.6395172615921
2063,941.8157029723452
2064,967.6562126763909
2065,994.1778585598569
2066,1021.3978800813312
2067,1049.3339104197184
2068,1078.004023750419
2069,1107.4267290341534
