years,total_users
2015,78.0
2016,73.0
2017,68.0
2018,67.9
2019,76.9
2020,77.0
2021,81.88588773535842
2022,86.88096636249261
2023,89.85032656861341
2024,95.28494257353036
2025,99.78922449216334
2026,104.53774583266942
2027,110.07587046878699
2028,115.29931634235228
2029,121.06599192376035
2030,127.0981013060086
2031,133.27460048429433
2032,139.88562825231756
2033,146.73382138231116
2034,153.9049503688822
2035,161.44661036052509
2036,169.30478990913835
2037,177.5475374281895
2038,186.173292379598
2039,195.1908058174948
2040,204.6349939958805
2041,214.5113126821871
2042,224.8434752197615
2043,235.65361834920702
2044,246.95838765605075
2045,258.7828219202456
2046,271.1485241543835
2047,284.07863766302705
2048,297.59886808909584
2049,311.7340753466987
2050,326.5112658363135
2051,341.95840610379054
2052,358.1042209688136
2053,374.97909675636544
2054,392.614393871124
2055,411.04280101017895
2056,430.2984469310581
2057,450.41673932082045
2058,471.4346018842566
2059,493.3904547379909
2060,516.3242575927759
2061,540.2776235174445
2062,565.2938363129708
2063,591.4179345616333
2064,618.6967829789274
2065,647.1791291992762
2066,676.9156876664985
2067,707.9592101580242
2068,740.3645627990974
2069,774.188810155096
