years,total_users
2015,146.0
2016,147.0
2017,148.0
2018,119.0
2019,92.7
2020,83.0
2021,64.34620888439447
2022,53.64389871717229
2023,45.43618182914189
2024,35.785888053580656
2025,30.396401106811968
2026,24.85026375333173
2027,20.12702656174654
2028,16.937861658349355
2029,13.700986424352031
2030,11.300468889774132
2031,9.365810332206607
2032,7.6058475200205145
2033,6.305044344945793
2034,5.172971346472988
2035,4.231839420189107
2036,3.498777682443081
2037,2.8610566298446996
2038,2.351675348924627
2039,1.9356768430703253
2040,1.5840421730564327
2041,1.3035530629036276
2042,1.0696398196092942
2043,0.87684912622784
2044,0.7208841379310357
2045,0.5908015401259882
2046,0.48482600810617477
2047,0.397993946527635
2048,0.32614916290248025
2049,0.2676655235819855
2050,0.21947681652337206
2051,0.17989515386959018
2052,0.14755939417570027
2053,0.12091913686564561
2054,0.09911505478325273
2055,0.08124414113078499
2056,0.06655696628888186
2057,0.0545425516478544
2058,0.044682302795556086
2059,0.03659731222097978
2060,0.029978925384146527
2061,0.024548676026929044
2062,0.020101789074725592
2063,0.0164591806338544
2064,0.013473287249025696
2065,0.011029150294760443
2066,0.009026821903632933
2067,0.0073869708775514565
2068,0.006044737025636776
2069,0.004945484369485717
