years,total_users
2015,224.0
2016,242.5
2017,261.0
2018,261.8
2019,265.0
2020,265.0
2021,267.01888356450655
2022,268.637760113813
2023,269.66633397029284
2024,271.5043391754145
2025,272.84750211735997
2026,274.30033138150446
2027,275.910480098878
2028,277.32821378981885
2029,278.87951650543135
2030,280.41337016280033
2031,281.91791866894283
2032,283.4806136762752
2033,285.0200418065617
2034,286.573993954733
2035,288.14548506525983
2036,289.71271265690183
2037,291.2960742963288
2038,292.88617845652806
2039,294.4823243638679
2040,296.0900135118708
2041,297.70420172834145
2042,299.32728945513657
2043,300.9595055839272
2044,302.5995292864887
2045,304.2486753931412
2046,305.90639857557164
2047,307.57269644108675
2048,309.2479541489025
2049,310.9318984678655
2050,312.6247212947732
2051,314.3264791187963
2052,316.03713185052186
2053,317.75680420867815
2054,319.4855049510152
2055,321.22327695038246
2056,322.97018749330937
2057,324.7262629596212
2058,326.49155898877785
2059,328.2661229769308
2060,330.04999650246606
2061,331.84323165117894
2062,333.6458734828458
2063,335.4579694046063
2064,337.2795685662087
2065,339.1107177816243
2066,340.95146591206856
2067,342.80186152494684
2068,344.66195304633567
2069,346.5317897815584
