years,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10
2020,"['Mandarin Chinese', 'English', 'Spanish', 'Arabic', 'Hindi', 'Indonesian', 'Portuguese', 'Russian', 'Bengali', 'French']"
2021,"['Mandarin Chinese', 'English', 'Spanish', 'Hindi', 'Arabic', 'Indonesian', 'Russian', 'Portuguese', 'Bengali', 'French']"
2022,"['Mandarin Chinese', 'English', 'Hindi', 'Spanish', 'Arabic', 'Indonesian', 'Russian', 'Bengali', 'French', 'Portuguese']"
2023,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Arabic', 'French', 'Indonesian', 'Russian', 'Bengali', 'Portuguese']"
2024,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Arabic', 'Bengali', 'Russian', 'Portuguese', 'Indonesian']"
2025,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Arabic', 'Bengali', 'Russian', 'Portuguese', 'Indonesian']"
2026,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Bengali', 'Portuguese', 'Russian', 'Arabic', 'Indonesian']"
2027,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Bengali', 'Portuguese', 'Russian', 'Arabic', 'Indonesian']"
2028,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Arabic', 'Indonesian']"
2029,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Arabic']"
2030,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Japanese']"
2031,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Japanese']"
2032,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Yue Chinese']"
2033,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Yue Chinese']"
