years,population
2010,1376498.0
2011,1384206.0
2012,1391883.0
2013,1399454.0
2014,1406848.0
2015,1414049.0
2016,1421022.0
2017,1427648.0
2018,1433784.0
2019,1439324.0
2020,1445765.6379097744
2021,1451664.6393248942
2022,1457716.7003135975
2023,1463948.4448090317
2024,1469985.696315861
2025,1476189.535827085
2026,1482386.2118433495
2027,1488569.1918123285
2028,1494832.1146378561
2029,1501084.858974142
2030,1507370.9725218387
2031,1513692.211391626
2032,1520025.2964427485
2033,1526392.8755630862
2034,1532784.1897423703
2035,1539198.92518732
2036,1545643.0255946892
2037,1552110.9567420282
2038,1558605.5341345964
2039,1565126.9632366467
2040,1571673.886064505
2041,1578247.8137521946
2042,1584848.1710995866
2043,1591475.035702516
2044,1598128.8763911293
2045,1604809.4454120933
2046,1611517.0169290798
2047,1618251.702445292
2048,1625013.516174444
2049,1631802.6519165705
2050,1638619.1735256517
2051,1645463.1860050214
2052,1652334.819171711
2053,1659234.1584593565
2054,1666161.3222803087
2055,1673116.4192664328
2056,1680099.552353383
2057,1687110.8360766864
2058,1694150.3772388385
2059,1701218.2855975996
2060,1708314.6728472752
