years,population
2010,143479.0
2011,143703.0
2012,143994.0
2013,144325.0
2014,144665.0
2015,144985.0
2016,145275.0
2017,145530.0
2018,145734.0
2019,145872.0
2020,145934.0
2021,146105.23633566467
2022,146205.47870343653
2023,146322.33942806665
2024,146458.3199617436
2025,146567.11443896894
2026,146693.77778469084
2027,146816.4081745138
2028,146934.38046403514
2029,147059.27060213656
2030,147179.81556676363
2031,147301.49059760952
2032,147424.45207276917
2033,147545.8062627137
2034,147668.36885918304
2035,147790.7712230521
2036,147912.97435668798
2037,148035.70174687865
2038,148158.2496045815
2039,148280.96016514173
2040,148403.8432722656
2041,148526.7181592346
2042,148649.76085838134
2043,148772.88591069216
2044,148896.0909504116
2045,149019.4212618816
2046,149142.83293465804
2047,149266.3474276043
2048,149389.9654274808
2049,149513.6757092684
2050,149637.48934546928
2051,149761.4010672271
2052,149885.41079850652
2053,150009.52144113128
2054,150133.73032290497
2055,150258.03885683644
2056,150382.4471578405
2057,150506.95459652698
2058,150631.56193695965
2059,150756.26892205293
2060,150881.0756192934
