years,population
2010,46931.0
2011,47084.0
2012,47063.0
2013,46931.0
2014,46778.0
2015,46672.0
2016,46634.0
2017,46647.0
2018,46693.0
2019,46737.0
2020,46755.0
2021,46800.059029491065
2022,46831.11889180801
2023,46862.70836257774
2024,46900.82747296565
2025,46932.2121700703
2026,46967.126469719835
2027,47001.93838098655
2028,47035.14800837246
2029,47070.071225337095
2030,47104.14217102263
2031,47138.26881918801
2032,47172.82614708077
2033,47206.985247500466
2034,47241.38757449365
2035,47275.8061662844
2036,47310.14730370058
2037,47344.61822391619
2038,47379.058591798654
2039,47413.5251655421
2040,47448.0413943582
2041,47482.55549205352
2042,47517.107561031466
2043,47551.68343303194
2044,47586.27726664287
2045,47620.90202840876
2046,47655.54771384094
2047,47690.21788549187
2048,47724.914024294994
2049,47759.63290945827
2050,47794.37706266102
2051,47829.145614015186
2052,47863.93821402044
2053,47898.75568856455
2054,47933.5974280024
2055,47968.463670547484
2056,48003.354524348964
2057,48038.26980371987
2058,48073.209681866436
2059,48108.17412004536
2060,48143.16311205174
