years,population
2010,22155.0
2011,22538.0
2012,22904.0
2013,23255.0
2014,23596.0
2015,23932.0
2016,24263.0
2017,24585.0
2018,24898.0
2019,25203.0
2020,25500.0
2021,25817.883496267794
2022,26127.87475449141
2023,26444.408982065506
2024,26767.53802172574
2025,27090.099448407924
2026,27419.332806181537
2027,27751.68568067217
2028,28087.19854664753
2029,28427.714476002722
2030,28771.47993834191
2031,29119.43744570068
2032,29471.63277101122
2033,29827.662025369667
2034,30188.02025433863
2035,30552.5297422508
2036,30921.237360445546
2037,31294.302928914625
2038,31671.662375373453
2039,32053.42030216395
2040,32439.62586860389
2041,32830.300676226485
2042,33225.52291058955
2043,33625.32929704525
2044,34029.77108402753
2045,34438.90708646034
2046,34852.78267610287
2047,35271.454277128505
2048,35694.9753907133
2049,36123.398339516134
2050,36556.77952275065
2051,36995.17330532941
2052,37438.63551589832
2053,37887.223018749115
2054,38340.992408843675
2055,38800.00154582325
2056,39264.30868810125
2057,39733.97260761664
2058,40209.05292372132
2059,40689.60972803504
2060,41175.70380880761
