years,population
2010,1234281.0
2011,1250288.0
2012,1265780.0
2013,1280842.0
2014,1295601.0
2015,1310152.0
2016,1324517.0
2017,1338677.0
2018,1352642.0
2019,1366418.0
2020,1380004.0
2021,1394210.1240578021
2022,1408230.07531887
2023,1422468.2757685184
2024,1436926.5953891275
2025,1451404.2794722053
2026,1466104.3868813755
2027,1480927.544670358
2028,1495874.9527257755
2029,1510998.4462496743
2030,1526248.998162931
2031,1541653.146655105
2032,1557212.322278056
2033,1572915.3213048845
2034,1588776.1523724056
2035,1604789.9631710711
2036,1620958.1893258023
2037,1637285.4389680873
2038,1653770.0381729205
2039,1670415.0410888684
2040,1687221.9477196035
2041,1704191.4822324775
2042,1721325.9550085126
2043,1738626.5123358367
2044,1756094.7058993618
2045,1773732.2985245367
2046,1791540.6742472511
2047,1809521.5255226125
2048,1827676.461306713
2049,1846007.05573116
2050,1864514.995632067
2051,1883201.909033222
2052,1902069.46320736
2053,1921119.3526767264
2054,1940353.2625175053
2055,1959772.9113678504
2056,1979380.0270937958
2057,1999176.3499501313
2058,2019163.6419127842
2059,2039343.6761012545
2060,2059718.2430252659
