years,L2_users
2015,12.0
2016,12.0
2017,12.0
2018,17.0
2019,18.0
2020,11.0
2021,14.079367625444249
2022,11.392287056305879
2023,9.69096183640359
2024,10.097906234563746
2025,8.139543457517405
2026,7.71375163042598
2027,7.138012356301034
2028,6.1289605708560755
2029,5.793997650257906
2030,5.155127515757413
2031,4.622031478701813
2032,4.260502612661595
2033,3.7892228200924762
2034,3.4456754556684825
2035,3.1234266805871407
2036,2.801536122454931
2037,2.5460241265367234
2038,2.2942221985852598
2039,2.0691932048388253
2040,1.8731985482106757
2041,1.6870756657356727
2042,1.5239105338237222
2043,1.3757392450286512
2044,1.2399432134769954
2045,1.1194378704786483
2046,1.009292982766063
2047,0.9099591790496877
2048,0.8207096622767016
2049,0.7395664523913419
2050,0.666619157792677
2051,0.600728618694645
2052,0.5411427096703341
2053,0.487509167595717
2054,0.4390414246721398
2055,0.39532994787530573
2056,0.35593509599734496
2057,0.3203769671119901
2058,0.28833745431707686
2059,0.2594537352288087
2060,0.23341458724487213
2061,0.20995897971049782
2062,0.18882202807734014
2063,0.16978285074444346
2064,0.1526376092620096
2065,0.13719698838204647
2066,0.12329708806532307
2067,0.11078522738735018
2068,0.09952452318718534
2069,0.08939262548147826
