years,L2_users
2015,0.3
2016,0.15
2017,0.0
2018,22.0
2019,24.0
2020,5.7
2021,16.008353495215488
2022,9.161720741645311
2023,6.124838404834853
2024,8.246105115254325
2025,4.165023959857866
2026,4.3242182620466725
2027,3.842419213097661
2028,2.340256033185584
2029,2.502032253820828
2030,1.8150308163134037
2031,1.3888892615979629
2032,1.3100399090541326
2033,0.9189654522467937
2034,0.7944519479465213
2035,0.6634038190912609
2036,0.4928746823286815
2037,0.4327619945558791
2038,0.33866297567883435
2039,0.26915460994372337
2040,0.22839007613717754
2041,0.17683986215407244
2042,0.145820284492828
2043,0.11920331680454815
2044,0.09392025133447716
2045,0.07787620435181568
2046,0.06236554111723253
2047,0.05014956046842841
2048,0.04116634841023263
2049,0.03284728961008352
2050,0.02671284218177306
2051,0.021675683655100697
2052,0.017383999210589324
2053,0.014162713703036747
2054,0.011416827798908352
2055,0.009212523714843103
2056,0.007482151954355476
2057,0.006023401048422343
2058,0.004876958515150865
2059,0.003946387934297059
2060,0.0031814442062082643
2061,0.0025771708975717606
2062,0.0020808766164355803
2063,0.0016804839635085258
2064,0.0013598720137711772
2065,0.0010973740296329687
2066,0.000887059379196808
2067,0.0007169227050204215
2068,0.0005787066871081335
2069,0.0004678195422551144
