years,L2_users
2015,120.0
2016,167.5
2017,215.0
2018,260.0
2019,275.0
2020,295.3
2021,330.05570554180304
2022,353.01536566868185
2023,386.2450892930389
2024,421.2521461685134
2025,456.0128240064992
2026,497.2965445149342
2027,539.9227866678466
2028,586.2936186961091
2029,637.2399737387575
2030,691.4343786688909
2031,750.5346969332296
2032,814.3499844653976
2033,883.1058134200056
2034,957.5946301821338
2035,1037.9026934849417
2036,1124.6094652659206
2037,1218.2297392423013
2038,1319.1782499778708
2039,1428.088052003461
2040,1545.5163548511227
2041,1672.0856095442036
2042,1808.4957210903115
2043,1955.4485768949319
2044,2113.724612939561
2045,2284.151829090083
2046,2467.6068898817416
2047,2665.0382673199174
2048,2877.4519668201838
2049,3105.9241773909616
2050,3351.6062957428685
2051,3615.7247949724374
2052,3899.590709246782
2053,4204.602807852877
2054,4532.253033366961
2055,4884.13362160054
2056,5261.942260365154
2057,5667.489258555313
2058,6102.704627139521
2059,6569.645240669001
2060,7070.503011103696
2061,7607.613118543107
2062,8183.462849243424
2063,8800.701031865145
2064,9462.147874597847
2065,10170.80547570822
2066,10929.868908660885
2067,11742.737923350143
2068,12613.029353863833
2069,13544.590208727963
