years,L2_users
2015,190.0
2016,190.0
2017,198.0
2018,198.0
2019,198.0
2020,198.7
2021,198.70090948484554
2022,199.0518671388363
2023,199.40325654539558
2024,199.58014279414596
2025,199.93226956581464
2026,200.19737010232308
2027,200.46284167683964
2028,200.77241747417813
2029,201.03867083789336
2030,201.3271622960399
2031,201.61604534406968
2032,201.89438854716224
2033,202.1840471297216
2034,202.46863314491736
2035,202.75360833557744
2036,203.04170595449173
2037,203.32746336278404
2038,203.61497779509097
2039,203.90288459241668
2040,204.190501152341
2041,204.4791936498983
2042,204.76793852158758
2043,205.05707754689496
2044,205.34678200879526
2045,205.63671104558964
2046,205.9271211737292
2047,206.21792760759544
2048,206.50908818232335
2049,206.8006887578401
2050,207.09266586465546
2051,207.38504135142313
2052,207.67782641351252
2053,207.9710002439623
2054,208.26457936540757
2055,208.55855897386908
2056,208.85293692922454
2057,209.14771909202528
2058,209.44290199214768
2059,209.73848749145893
2060,210.03447678675278
2061,210.3308690756768
2062,210.62766588920687
2063,210.92486742623637
2064,211.22247405279808
2065,211.52048663546796
2066,211.8189054584261
2067,212.11773113966834
2068,212.4169642562732
2069,212.71660526101877
