years,L2_users
2015,3.0
2016,3.0
2017,3.0
2018,18.0
2019,17.0
2020,12.2
2021,18.518117266207714
2022,15.55968680749729
2023,16.336253131390478
2024,17.983961630194237
2025,16.882526564547277
2026,18.107643040814597
2027,18.400380953923104
2028,18.480439722365574
2029,19.257556955785567
2030,19.464956636776403
2031,19.915076728663227
2032,20.428961411395118
2033,20.780120569374883
2034,21.284872880813758
2035,21.740668561616882
2036,22.192405388985726
2037,22.6968686474671
2038,23.175363086604882
2039,23.67867607574206
2040,24.195860653685298
2041,24.71300281937931
2042,25.250003285803786
2043,25.794456130707538
2044,26.34936489909116
2045,26.918480104447625
2046,27.49711854532284
2047,28.08866440646807
2048,28.692662363570378
2049,29.308475972002185
2050,29.93757927389079
2051,30.579438939889595
2052,31.23448562847333
2053,31.903201316089046
2054,32.58554741646324
2055,33.28199254023647
2056,33.99277112952166
2057,34.71811128908637
2058,35.45837764789876
2059,36.21381499114552
2060,36.98473338560855
2061,37.77145145855706
2062,38.574260865197004
2063,39.393490396972105
2064,40.229459915163545
2065,41.08249463637439
2066,41.95293413708616
2067,42.841116492299705
2068,43.74738991140075
2069,44.672109316311676
