years,L2_users
2015,19.0
2016,19.0
2017,19.0
2018,14.0
2019,14.0
2020,15.8
2021,13.240879494313717
2022,14.145432469352098
2023,13.78008806417092
2024,12.959173955483307
2025,13.238883632529017
2026,12.659987341804266
2027,12.403994059738801
2028,12.268451739351084
2029,11.864763413715863
2030,11.682923271289441
2031,11.42698279614402
2032,11.147530605266885
2033,10.941757043313391
2034,10.6868996245548
2035,10.45687086676506
2036,10.238894645827346
2037,10.008525684169495
2038,9.796361212459955
2039,9.583784728225359
2040,9.373874117915667
2041,9.172631818249275
2042,8.972287209582069
2043,8.777387196189688
2044,8.587052701091883
2045,8.39967440969345
2046,8.217091965124496
2047,8.038064741820794
2048,7.862711826285633
2049,7.691337182189277
2050,7.523383594428488
2051,7.359066584816886
2052,7.198263343645574
2053,7.040806615152524
2054,6.8867464809275285
2055,6.735941433808701
2056,6.588336370272401
2057,6.443889031875574
2058,6.302504449740911
2059,6.164137246887382
2060,6.028722043201181
2061,5.896191827131299
2062,5.766494333044225
2063,5.6395664096185465
2064,5.515351405319149
2065,5.393794543113702
2066,5.274838792848051
2067,5.158431257694657
2068,5.044518796289579
2069,4.933049152990572
