years,L2_users
2015,140.0
2016,146.5
2017,153.0
2018,160.0
2019,175.0
2020,199.3
2021,214.51089341317623
2022,238.72760326870952
2023,263.47622384235166
2024,288.66074047444596
2025,319.086143989919
2026,350.5488464635187
2027,385.4325111452015
2028,424.0829637090722
2029,465.6554026837162
2030,511.5624914650276
2031,561.6204261312303
2032,616.1810407216489
2033,675.9280098584254
2034,741.0253369106202
2035,812.0735522302367
2036,889.5863406737668
2037,974.0436542746825
2038,1066.1064207665142
2039,1166.3839690500595
2040,1275.567575072805
2041,1394.4220505435414
2042,1523.7374034332888
2043,1664.391596209016
2044,1817.323121674875
2045,1983.5390071827014
2046,2164.133176960127
2047,2360.2777403395053
2048,2573.2370567986513
2049,2804.373552357772
2050,3055.1514879911897
2051,3327.147999301832
2052,3622.059101694426
2053,3941.7083714782707
2054,4288.056816968595
2055,4663.2116704007
2056,5069.437193019091
2057,5509.1656341090065
2058,5985.0087605079325
2059,6499.770573276001
2060,7056.460502447538
2061,7658.307599870306
2062,8308.775690986384
2063,9011.579399707318
2064,9770.701293010594
2065,10590.410091602764
2066,11475.280035512891
2067,12430.211509716331
2068,13460.452957182919
2069,14571.624186073339
