years,L2_users
2015,0.0115
2016,0.50575
2017,1.0
2018,2.3
2019,2.6
2020,2.5
2021,3.394014229533994
2022,3.626751112659839
2023,4.173322461069036
2024,4.902672078115198
2025,5.483186475990705
2026,6.334713358812565
2027,7.230869946344333
2028,8.218655183604444
2029,9.397228206833182
2030,10.681983882662777
2031,12.149650041369675
2032,13.812281335082552
2033,15.671474049104924
2034,17.77713182249668
2035,20.14263705495421
2036,22.800803140618186
2037,25.790999107122524
2038,29.144982370806687
2039,32.908266720581835
2040,37.12682639638671
2041,41.85076415990577
2042,47.138394254873525
2043,53.05159291724163
2044,59.65975330105058
2045,67.039630622791
2046,75.27514106664003
2047,84.4593927021208
2048,94.69467323055112
2049,106.09353432085707
2050,118.77998259560775
2051,132.89021896503166
2052,148.5739904385345
2053,165.99578924939865
2054,185.33615176128933
2055,206.79320601381076
2056,230.5842159662041
2057,256.9473228647989
2058,286.14343434111237
2059,318.458237833057
2060,354.20441512114655
2061,393.72402413612633
2062,437.39107688343904
2063,485.6143372390384
2064,538.8403388500585
2065,597.5566520659019
2066,662.2954148310071
2067,733.6371452544972
2068,812.2148610531838
2069,898.7185257420117
