year,data
1960,-0.48068182765068707
1961,-0.5151389464900643
1962,-0.5204392877196138
1963,-0.5303366267259901
1964,-0.5627233930937913
1965,-0.5616342006961529
1966,-0.5347583473739915
1967,-0.4697155059632158
1968,-0.4591194472778473
1969,-0.48943205033301984
1970,-0.4921726567634968
1971,-0.504537290532952
1972,-0.5075309990789924
1973,-0.5181173713702149
1974,-0.4854864928649864
1975,-0.408616016005683
1976,-0.42255180334168807
1977,-0.3557500510034907
1978,-0.2644931029873338
1979,-0.18207673984528291
1980,0.3548131422187531
1981,0.3775228855129725
1982,0.4739781713789824
1983,0.8124458998694178
1984,0.9476031848423564
1985,0.9086942312203585
1986,0.9436877282217234
1987,0.46270698449686715
1988,0.39974686074817845
1989,0.2808717175039448
1990,0.16941868855565315
1991,0.23310966393228813
1992,0.2131780759626087
1993,0.1538650946029716
1994,0.1058015108172073
1995,0.2352625639155158
1996,0.208355794244621
1997,0.343446947422567
1998,0.1330244422230082
1999,0.17617627983364864
2000,0.2022485688762419
2001,-0.014993459537046328
2002,-0.016159983713205626
2003,0.011019649396477014
2004,-0.1015377110226631
2005,0.2146971224090108
2006,0.17765008648428818
2007,0.21026259277294237
2008,0.34928888081167775
2009,0.2991265431171275
